word,count
plates,268
dumbbell,199
bumper,166
dumbbells,153
weight,151
rubber,145
set,73
hex,59
adjustable,55
gym,53
home,33
olympic,27
weights,27
wholesale,26
plate,26
fitness,23
commercial,22
iron,20
barbell,19
cast,17
coated,15
bulk,14
black,14
rep,14
amazon,13
gyms,13
urethane,13
choose,13
cost,12
competition,12
manufacturers,12
price,11
sets,11
steel,10
titan,10
rogue,10
lbs,10
encased,10
free,10
hand,10
manufacturer,9
sport,9
training,9
premium,9
cap,9
rack,9
image,9
logo,8
compare,8
quality,8
